ParkingID,VehicleType,EntryTime,ExitTime,ParkingFee,Floor,SlotNumber,IsReserved,Violations
1,Truck,2023-11-28 09:30:00,2023-11-28 11:57:00,128.76,1,7,1,0
2,SUV,2023-06-24 15:57:00,2023-06-24 18:52:00,158.72,4,22,1,1
3,Car,2023-02-15 07:31:00,2023-02-15 08:34:00,67.0,1,10,1,1
4,Truck,2023-04-29 14:28:00,2023-04-29 17:23:00,136.77,2,23,0,1
5,Truck,2023-03-19 09:02:00,2023-03-19 11:18:00,215.31,1,15,0,2
6,SUV,2023-08-21 18:06:00,2023-08-21 18:34:00,14.85,2,30,0,1
7,Car,2023-09-27 09:11:00,2023-09-27 12:34:00,277.51,2,34,1,2
8,Car,2023-04-06 14:42:00,2023-04-06 16:44:00,144.07,1,13,0,2
9,Truck,2023-12-22 12:14:00,2023-12-22 14:29:00,154.45,3,4,1,2
10,Bike,2023-04-08 01:29:00,2023-04-08 02:55:00,168.41,1,18,1,0
11,Truck,2023-09-21 15:20:00,2023-09-21 17:30:00,190.04,5,23,1,2
12,Truck,2023-08-04 15:10:00,2023-08-04 17:16:00,134.82,5,33,0,1
13,Truck,2023-09-28 14:30:00,2023-09-28 14:49:00,19.22,3,34,1,1
14,Truck,2023-01-01 05:07:00,2023-01-01 08:59:00,154.55,2,34,0,0
15,SUV,2023-11-29 22:10:00,2023-11-29 22:30:00,33.94,3,36,0,0
16,Car,2023-08-30 14:36:00,2023-08-30 14:54:00,21.71,5,35,0,1
17,SUV,2023-06-29 09:47:00,2023-06-29 10:25:00,29.85,3,17,1,0
18,SUV,2023-07-04 05:04:00,2023-07-04 07:06:00,61.17,1,28,0,0
19,SUV,2023-04-13 23:11:00,2023-04-14 01:31:00,161.52,3,14,0,2
20,Truck,2023-12-22 09:10:00,2023-12-22 10:28:00,132.13,2,34,1,2
21,Bike,2023-04-24 05:04:00,2023-04-24 05:57:00,81.93,1,48,0,0
22,Car,2023-06-13 17:32:00,2023-06-13 21:26:00,363.12,4,11,1,1
23,Bike,2023-10-07 14:28:00,2023-10-07 15:57:00,151.51,5,13,0,2
24,SUV,2023-01-02 22:37:00,2023-01-03 02:25:00,246.98,5,33,1,1
25,SUV,2023-06-18 00:46:00,2023-06-18 04:07:00,185.86,3,2,1,0
26,Bike,2023-09-29 22:41:00,2023-09-30 00:31:00,212.88,1,34,1,1
